Fecha;Hora;Temperatura;Humedad (%);Humedad del suelo (%);Porcenaje de agua;Estado bomba
22/8/2022;16:41:45;19.4;75.9;70.7;46.73;0
22/8/2022;16:41:50;19.4;75.8;71;46.73;0
22/8/2022;16:41:55;19.4;75.8;70.12;46.79;0
22/8/2022;16:42:00;19.4;75.6;69.92;46.77;0
22/8/2022;16:42:05;19.4;75.6;69.04;46.75;0
22/8/2022;16:42:10;19.4;75.6;69.04;46.81;0
22/8/2022;16:42:15;19.4;75.5;69.43;46.8;0
22/8/2022;16:42:20;19.4;75.5;69.34;46.79;0
22/8/2022;16:42:25;19.4;75.4;69.04;46.76;0
22/8/2022;16:42:30;19.4;75.4;68.26;46.76;0
22/8/2022;16:42:35;19.4;75.4;67.97;46.82;0
22/8/2022;16:42:40;19.4;75.9;67.87;46.76;0
22/8/2022;16:42:45;19.4;76;67.68;46.8;0
22/8/2022;16:42:50;19.4;75.9;67.48;46.78;0
22/8/2022;16:42:55;19.4;75.8;67.97;46.79;0
22/8/2022;16:43:00;19.4;75.7;67.97;46.77;0
22/8/2022;16:43:05;19.4;75.7;67.09;46.76;0
22/8/2022;16:43:10;19.4;75.6;67.09;46.77;0
22/8/2022;16:43:15;19.4;75.5;67.97;46.8;0
22/8/2022;16:43:20;19.4;75.4;67.58;46.8;0
22/8/2022;16:43:25;19.4;75.4;66.8;46.75;0
22/8/2022;16:43:34;19.4;75.4;69.14;46.79;1
22/8/2022;16:43:39;19.4;75.4;66.89;44.14;0
22/8/2022;16:43:44;19.4;75.4;67.58;43.81;0
22/8/2022;16:43:49;19.4;75.4;68.95;43.86;0
22/8/2022;16:43:54;19.4;75.4;67.97;43.84;0
22/8/2022;16:43:59;19.4;75.5;67.09;43.86;0
22/8/2022;16:44:04;19.4;75.5;67.38;43.84;0
22/8/2022;16:44:09;19.4;75.5;67.19;43.79;0
22/8/2022;16:44:14;19.4;75.5;66.5;43.81;0
22/8/2022;16:44:19;19.4;75.5;73.44;43.8;0
22/8/2022;16:44:24;19.4;75.6;74.71;43.82;0
22/8/2022;16:44:29;19.4;75.5;71.68;43.8;0
22/8/2022;16:44:34;19.4;75.6;70.61;43.83;0
22/8/2022;16:44:39;19.4;75.6;71;43.84;0
22/8/2022;16:44:44;19.4;75.6;70.9;43.8;0
22/8/2022;16:44:49;19.4;75.6;70.61;43.81;0
22/8/2022;16:44:54;19.4;75.7;69.92;43.82;0
22/8/2022;16:44:59;19.4;75.6;70.51;43.82;0
22/8/2022;16:45:04;19.4;75.6;70.41;43.79;0
22/8/2022;16:45:09;19.4;75.7;70.31;43.85;0
22/8/2022;16:45:14;19.4;75.7;69.73;43.84;0
22/8/2022;16:45:19;19.4;75.7;69.53;43.84;0
22/8/2022;16:45:24;19.4;75.7;69.53;43.86;0
22/8/2022;16:45:29;19.4;75.9;69.34;43.79;0
22/8/2022;16:45:34;19.4;76.1;69.43;43.85;0
22/8/2022;16:45:39;19.4;76.2;70.02;43.84;0
22/8/2022;16:45:44;19.4;76.1;69.24;43.83;0
22/8/2022;16:45:49;19.4;76;69.53;43.83;0
22/8/2022;16:45:54;19.4;76;69.73;43.81;0
22/8/2022;16:46:00;19.4;75.9;69.14;43.8;0
22/8/2022;16:46:04;19.5;76;69.73;43.83;0
22/8/2022;16:46:09;19.5;76;68.95;43.84;0
22/8/2022;16:46:15;19.5;76;69.34;43.83;0
22/8/2022;16:46:20;19.5;76;68.75;43.81;0
22/8/2022;16:46:24;19.5;76;69.43;43.83;0
22/8/2022;16:46:30;19.5;76;69.24;43.8;0
22/8/2022;16:46:35;19.5;76;69.14;43.85;0
22/8/2022;16:46:39;19.5;75.9;69.14;43.82;0
22/8/2022;16:46:45;19.5;75.9;68.55;43.83;0
22/8/2022;16:46:50;19.5;75.9;68.36;43.84;0
22/8/2022;16:46:54;19.5;75.9;68.85;43.82;0
22/8/2022;16:47:00;19.5;75.9;68.16;43.84;0
22/8/2022;16:47:04;19.5;75.9;68.65;43.79;0
22/8/2022;16:47:10;19.5;75.9;69.53;43.81;0
22/8/2022;16:47:15;19.5;75.9;67.97;43.86;0
22/8/2022;16:47:20;19.5;76;70.12;43.8;0
22/8/2022;16:47:25;19.5;76.1;67.68;43.78;0
22/8/2022;16:47:30;19.6;76.1;67.77;43.84;0
22/8/2022;16:47:35;19.6;76.1;67.97;43.84;0
22/8/2022;16:47:40;19.6;76.1;67.38;43.84;0
22/8/2022;16:47:45;19.6;76.1;67.09;43.83;0
22/8/2022;16:47:50;19.6;76.1;66.99;43.84;0
22/8/2022;16:47:55;19.6;76.1;67.48;43.85;0
22/8/2022;16:48:00;19.6;76;67.19;43.83;0
22/8/2022;16:48:05;19.6;76;66.99;43.81;0
22/8/2022;16:48:10;19.6;76;66.21;43.84;0
22/8/2022;16:48:15;19.6;76;66.31;43.85;0
22/8/2022;16:48:20;19.6;76;66.21;43.82;0
22/8/2022;16:48:25;19.6;76;66.7;43.83;0
22/8/2022;16:48:30;19.6;76;66.21;43.79;0
22/8/2022;16:48:35;19.6;75.9;65.92;43.84;0
22/8/2022;16:48:40;19.6;75.9;65.92;43.81;0
22/8/2022;16:48:45;19.6;75.9;65.33;44.38;0
22/8/2022;16:48:50;19.6;76;66.02;43.81;0
22/8/2022;16:48:55;19.6;75.9;65.23;43.84;0
22/8/2022;16:49:00;19.6;75.9;65.04;43.79;0
22/8/2022;16:49:05;19.7;76;64.65;43.83;0
22/8/2022;16:49:10;19.6;75.9;65.23;43.85;0
22/8/2022;16:49:15;19.7;76;64.45;43.85;0
22/8/2022;16:49:20;19.7;76;64.36;43.79;0
23/8/2022;12:58:55;20.8;76.3;62.99;43.84;0
23/8/2022;12:59:00;20.8;76.3;63.09;43.88;0
23/8/2022;12:59:05;20.8;76.3;63.67;43.86;0
23/8/2022;12:59:10;20.8;76.2;62.89;43.85;0
23/8/2022;12:59:15;20.8;76.2;63.09;43.85;0
23/8/2022;12:59:20;20.8;76;62.7;43.87;0
23/8/2022;12:59:25;20.8;76.1;63.38;43.85;0
23/8/2022;12:59:30;20.8;76.2;63.38;43.86;0
23/8/2022;12:59:35;20.8;76.1;61.72;43.89;0
23/8/2022;12:59:40;20.8;76.2;62.99;43.88;0
23/8/2022;12:59:45;20.8;76.1;63.38;43.87;0
23/8/2022;12:59:50;20.8;76.1;63.28;43.81;0
23/8/2022;12:59:55;20.8;76.1;62.99;43.87;0
23/8/2022;13:00:00;20.8;76.1;62.89;43.86;0
23/8/2022;13:00:05;20.8;76.1;62.99;43.87;0
23/8/2022;13:00:10;20.8;76.1;63.09;43.88;0
23/8/2022;13:00:15;20.8;76.1;63.48;43.87;0
23/8/2022;13:00:20;20.8;76.1;62.89;43.87;0
23/8/2022;13:00:25;20.8;76.1;62.89;43.85;0
23/8/2022;13:00:30;20.8;76.1;62.89;43.88;0
23/8/2022;13:00:35;20.8;76.1;62.89;43.89;0
23/8/2022;13:00:40;20.8;76.1;62.99;43.86;0
23/8/2022;13:00:45;20.8;76.1;61.82;43.86;0
23/8/2022;13:00:50;20.8;76.1;63.38;43.84;0
23/8/2022;13:00:55;20.8;76.1;63.09;43.87;0
23/8/2022;13:01:00;20.9;76.1;62.79;43.89;0
23/8/2022;13:01:05;20.8;76.1;62.7;43.85;0
23/8/2022;13:01:10;20.8;76.2;63.38;43.88;0
23/8/2022;13:01:15;20.9;76.2;62.89;43.85;0
23/8/2022;13:01:20;20.8;76.1;62.79;43.87;0
23/8/2022;13:01:25;20.8;76.1;62.89;43.87;0
23/8/2022;13:01:30;20.8;76.1;62.79;43.87;0
23/8/2022;13:01:35;20.8;76.1;62.79;43.85;0
23/8/2022;13:01:40;20.9;76.2;63.28;43.85;0
23/8/2022;13:01:45;20.8;76.2;62.89;43.89;0
23/8/2022;13:01:50;20.9;76.2;62.79;43.86;0
23/8/2022;13:01:55;20.9;76.2;62.79;43.88;0
23/8/2022;13:02:00;20.9;76.2;62.79;43.85;0
23/8/2022;13:02:05;20.8;76.2;63.38;43.86;0
23/8/2022;13:02:10;20.8;76.2;63.38;43.83;0
23/8/2022;13:02:15;20.9;76.2;63.38;43.88;0
23/8/2022;13:02:20;20.8;76.2;63.28;43.82;0
23/8/2022;13:02:25;20.9;76.2;63.38;43.87;0
23/8/2022;13:02:30;20.9;76.2;63.28;43.82;0
23/8/2022;13:02:35;20.8;76.2;62.89;43.79;0
23/8/2022;13:02:40;20.9;76.2;62.89;43.82;0
23/8/2022;13:02:45;20.9;76.2;62.79;43.87;0
23/8/2022;13:02:50;20.9;76.3;63.28;43.87;0
23/8/2022;13:02:55;20.9;76.2;63.28;43.82;0
23/8/2022;13:03:00;20.8;76.2;63.38;43.84;0
23/8/2022;13:03:05;20.9;76.2;63.48;43.85;0
23/8/2022;13:03:10;20.9;76.2;63.67;43.86;0
